Genes,Description,Enrichment,pValue
MSH2,DNA mismatch repair protein Msh2 OS=Homo sapiens GN=MSH2 PE=1 SV=1,1.264557539,0.274860663
SRP68,Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2,1.263142252,0.364189827
PABP1,Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2,1.25925292,0.23290432
VDAC3,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens GN=VDAC3 PE=1 SV=1,1.258480721,0.053811106
TSPO,Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=3,1.248481846,0.315370818
EXOS4,Exosome complex component RRP41 OS=Homo sapiens GN=EXOSC4 PE=1 SV=3,1.244087829,0.864967274
PTBP1,Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1,1.241848775,0.332768418
SYWC,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens GN=WARS PE=1 SV=2",1.238934159,0.126613792
TTC37,Tetratricopeptide repeat protein 37 OS=Homo sapiens GN=TTC37 PE=1 SV=1,1.238570192,0.375602372
HBS1L,HBS1-like protein OS=Homo sapiens GN=HBS1L PE=1 SV=1,1.237827586,0.261121509
ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2",1.234584608,0.856413026
ELAV1,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2,1.232460568,0.134297417
CNO11,CCR4-NOT transcription complex subunit 11 OS=Homo sapiens GN=CNOT11 PE=1 SV=1,1.232194029,0.041745402
PFKAM,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2",1.220929862,0.367061208
PYRG1,CTP synthase 1 OS=Homo sapiens GN=CTPS1 PE=1 SV=2,1.219846386,0.210572843
ZW10,Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3,1.218038951,0.267127402
NDUA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Homo sapiens GN=NDUFA9 PE=1 SV=2",1.215177723,0.790694384
MIC60,MICOS complex subunit MIC60 OS=Homo sapiens GN=IMMT PE=1 SV=1,1.208067729,0.124211249
PCBP1,Poly(rC)-binding protein 1 OS=Homo sapiens GN=PCBP1 PE=1 SV=2,1.202893861,0.252809575
EF1D,Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5,1.202800632,0.267816518
EIF3C,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1,1.200135314,0.308787389
EIFCL,Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens GN=EIF3CL PE=3 SV=1,1.200135314,0.308787389
MOT1,Monocarboxylate transporter 1 OS=Homo sapiens GN=SLC16A1 PE=1 SV=3,1.199141801,0.517093776
ARHG2,Rho guanine nucleotide exchange factor 2 OS=Homo sapiens GN=ARHGEF2 PE=1 SV=4,1.198797272,0.786868214
RS9,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3,1.19818944,0.401055959
UBC12,NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1,1.19759812,0.607707162
RL6,60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,1.195926717,0.112971104
TTF2,Transcription termination factor 2 OS=Homo sapiens GN=TTF2 PE=1 SV=2,1.190020277,0.442826886
MMTA2,Multiple myeloma tumor-associated protein 2 OS=Homo sapiens GN=MMTAG2 PE=1 SV=1,1.18881269,0.357396606
NU188,Nucleoporin NUP188 homolog OS=Homo sapiens GN=NUP188 PE=1 SV=1,1.187624107,0.647492543
NEMP1,Nuclear envelope integral membrane protein 1 OS=Homo sapiens GN=NEMP1 PE=1 SV=2,1.185034648,0.409497555
DRG2,Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens GN=DRG2 PE=1 SV=1,1.182438193,0.460030296
NU205,Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3,1.178252569,0.042944754
PRKDC,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,1.176186833,0.103581481
AKA11,A-kinase anchor protein 11 OS=Homo sapiens GN=AKAP11 PE=1 SV=1,1.172494948,0.604966219
EDC3,Enhancer of mRNA-decapping protein 3 OS=Homo sapiens GN=EDC3 PE=1 SV=1,1.171899642,0.220985343
VIGLN,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2,1.16858565,0.025946046
LIMD1,LIM domain-containing protein 1 OS=Homo sapiens GN=LIMD1 PE=1 SV=1,1.168376623,0.579317459
HNRH1,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4,1.157717976,0.388191319
HCD2,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3,1.151244014,0.279934733
ARF4,ADP-ribosylation factor 4 OS=Homo sapiens GN=ARF4 PE=1 SV=3,1.142346194,0.110515118
ASPP2,Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens GN=TP53BP2 PE=1 SV=2,1.14183172,0.499364089
ZN326,DBIRD complex subunit ZNF326 OS=Homo sapiens GN=ZNF326 PE=1 SV=2,1.140054049,0.485905674
DNJA1,DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2,1.138578461,0.255707504
SC23A,Protein transport protein Sec23A OS=Homo sapiens GN=SEC23A PE=1 SV=2,1.133650672,0.432706029
DHCR7,7-dehydrocholesterol reductase OS=Homo sapiens GN=DHCR7 PE=1 SV=1,1.133598002,0.454329997
CDR2L,Cerebellar degeneration-related protein 2-like OS=Homo sapiens GN=CDR2L PE=1 SV=2,1.133535643,0.309878743
PTN23,Tyrosine-protein phosphatase non-receptor type 23 OS=Homo sapiens GN=PTPN23 PE=1 SV=1,1.133071562,0.681707194
MTX2,Metaxin-2 OS=Homo sapiens GN=MTX2 PE=1 SV=1,1.128769367,0.696253894
UIF,UAP56-interacting factor OS=Homo sapiens GN=FYTTD1 PE=1 SV=3,1.12038562,0.035541747
NUP93,Nuclear pore complex protein Nup93 OS=Homo sapiens GN=NUP93 PE=1 SV=2,1.115753654,0.41640954
ILF3,Interleukin enhancer-binding factor 3 OS=Homo sapiens GN=ILF3 PE=1 SV=3,1.115732112,0.667467176
VATH,V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H PE=1 SV=1,1.113426585,0.635455542
GASP2,G-protein coupled receptor-associated sorting protein 2 OS=Homo sapiens GN=GPRASP2 PE=1 SV=1,1.111974265,0.851053235
HNRPL,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2,1.107575926,0.612305073
SERA,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4,1.10751773,0.619637026
TBG1,Tubulin gamma-1 chain OS=Homo sapiens GN=TUBG1 PE=1 SV=2,1.104454235,0.11082261
CBSL,Cystathionine beta-synthase-like protein OS=Homo sapiens GN=CBSL PE=1 SV=1,1.100884597,0.59353106
CBS,Cystathionine beta-synthase OS=Homo sapiens GN=CBS PE=1 SV=2,1.100884597,0.59353106
VP13C,Vacuolar protein sorting-associated protein 13C OS=Homo sapiens GN=VPS13C PE=1 SV=1,1.096749879,0.639721913
GUAA,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=1 SV=1,1.087284634,0.646229743
PUR6,Multifunctional protein ADE2 OS=Homo sapiens GN=PAICS PE=1 SV=3,1.087173792,0.431432821
EXOS6,Exosome complex component MTR3 OS=Homo sapiens GN=EXOSC6 PE=1 SV=1,1.08260821,0.595742791
SMC1A,Structural maintenance of chromosomes protein 1A OS=Homo sapiens GN=SMC1A PE=1 SV=2,1.082342138,0.560536701
SYK,Lysine--tRNA ligase OS=Homo sapiens GN=KARS PE=1 SV=3,1.080380594,0.596371791
RL4,60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5,1.071495587,0.302406296
DDX54,ATP-dependent RNA helicase DDX54 OS=Homo sapiens GN=DDX54 PE=1 SV=2,1.066442441,0.670384657
TRIPB,Thyroid receptor-interacting protein 11 OS=Homo sapiens GN=TRIP11 PE=1 SV=3,1.064540392,0.879589171
SYYM,"Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens GN=YARS2 PE=1 SV=2",1.058488814,0.530129486
HLTF,Helicase-like transcription factor OS=Homo sapiens GN=HLTF PE=1 SV=2,1.052475097,0.842635127
DDX47,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens GN=DDX47 PE=1 SV=1,1.051544945,0.745476024
PRDX6,Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3,1.050705449,0.767734597
SREK1,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens GN=SREK1 PE=1 SV=1,1.045205224,0.481256081
TADBP,TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1,1.044680081,0.831880368
MCM4,DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5,1.043875374,0.657760579
FAS,Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3,1.028066597,0.832171384
COPA,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,1.019909103,0.870317335
COPE,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3,1.019786091,0.487444258
SRRM1,Serine/arginine repetitive matrix protein 1 OS=Homo sapiens GN=SRRM1 PE=1 SV=2,1.018251121,0.517145041
GPN1,GPN-loop GTPase 1 OS=Homo sapiens GN=GPN1 PE=1 SV=1,1.018170047,0.974748053
TRIP4,Activating signal cointegrator 1 OS=Homo sapiens GN=TRIP4 PE=1 SV=4,1.017528311,0.899068618
MRE11,Double-strand break repair protein MRE11 OS=Homo sapiens GN=MRE11 PE=1 SV=3,1.011265598,0.908108516
MCM3,DNA replication licensing factor MCM3 OS=Homo sapiens GN=MCM3 PE=1 SV=3,1.009693182,0.460855537
HSP7C,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,1.00842796,0.934208503
43350,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2,1.007420107,0.966354218
SYYC,"Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=YARS PE=1 SV=4",1.006555693,0.968238987
SEC13,Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=3,1.005852343,0.484806553
SPD2B,SH3 and PX domain-containing protein 2B OS=Homo sapiens GN=SH3PXD2B PE=1 SV=3,1.003317629,0.457264392
SRRM2,Serine/arginine repetitive matrix protein 2 OS=Homo sapiens GN=SRRM2 PE=1 SV=2,0.999339476,0.99840931
EPN4,Clathrin interactor 1 OS=Homo sapiens GN=CLINT1 PE=1 SV=1,0.995986683,0.975962586
DDX17,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=2,0.995883644,0.985979575
EF1A1,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,0.995296417,0.948779534
MYO1B,Unconventional myosin-Ib OS=Homo sapiens GN=MYO1B PE=1 SV=3,0.990611446,0.968778059
CSK22,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1,0.988861943,0.509133769
EXOS9,Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9 PE=1 SV=3,0.985984598,0.428341838
COBL,Protein cordon-bleu OS=Homo sapiens GN=COBL PE=1 SV=2,0.97959959,0.395788396
TBCE,Tubulin-specific chaperone E OS=Homo sapiens GN=TBCE PE=1 SV=1,0.978995322,0.440348756
KINH,Kinesin-1 heavy chain OS=Homo sapiens GN=KIF5B PE=1 SV=1,0.978803781,0.90835463
CNOT7,CCR4-NOT transcription complex subunit 7 OS=Homo sapiens GN=CNOT7 PE=1 SV=3,0.971850458,0.44039316
TBK1,Serine/threonine-protein kinase TBK1 OS=Homo sapiens GN=TBK1 PE=1 SV=1,0.971311207,0.347479147
AMOT,Angiomotin OS=Homo sapiens GN=AMOT PE=1 SV=1,0.971196955,0.32150744
REPS1,RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens GN=REPS1 PE=1 SV=3,0.970628279,0.364110117
SPAG5,Sperm-associated antigen 5 OS=Homo sapiens GN=SPAG5 PE=1 SV=2,0.967249965,0.873482781
RSMN,Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens GN=SNRPN PE=1 SV=1,0.963198408,0.775462762
43352,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2,0.962330187,0.319390256
TBCD5,TBC1 domain family member 5 OS=Homo sapiens GN=TBC1D5 PE=1 SV=1,0.960860674,0.323202281
DDX5,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,0.958818929,0.753873001
DDX52,Probable ATP-dependent RNA helicase DDX52 OS=Homo sapiens GN=DDX52 PE=1 SV=3,0.948107529,0.712282148
CAMP2,Calmodulin-regulated spectrin-associated protein 2 OS=Homo sapiens GN=CAMSAP2 PE=1 SV=3,0.943315743,0.377395091
CD2AP,CD2-associated protein OS=Homo sapiens GN=CD2AP PE=1 SV=1,0.943269008,0.80241611
SNAPN,SNARE-associated protein Snapin OS=Homo sapiens GN=SNAPIN PE=1 SV=1,0.941788528,0.758081064
IRS4,Insulin receptor substrate 4 OS=Homo sapiens GN=IRS4 PE=1 SV=1,0.940058781,0.633475506
MAP1B,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2,0.937298152,0.301589113
FERM2,Fermitin family homolog 2 OS=Homo sapiens GN=FERMT2 PE=1 SV=1,0.937037287,0.76977225
CYFP2,Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=1 SV=2,0.933171528,0.841615172
SYLC,"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2",0.92875971,0.566844755
NKRF,NF-kappa-B-repressing factor OS=Homo sapiens GN=NKRF PE=1 SV=2,0.927392586,0.442169041
FBRL,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2,0.926970459,0.588081361
TAF2,Transcription initiation factor TFIID subunit 2 OS=Homo sapiens GN=TAF2 PE=1 SV=3,0.925874017,0.311566923
PKN2,Serine/threonine-protein kinase N2 OS=Homo sapiens GN=PKN2 PE=1 SV=1,0.923720217,0.687335228
CNN3,Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,0.921140991,0.337449956
RS24,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1,0.918216156,0.659837232
RBM39,RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2,0.912612187,0.546839954
AHNK,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,0.912411591,0.76715156
TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens GN=TAB2 PE=1 SV=1,0.906246449,0.336721444
PALLD,Palladin OS=Homo sapiens GN=PALLD PE=1 SV=3,0.905707016,0.735349343
RL7A,60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2,0.904672538,0.454705265
CYBP,Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2,0.904494791,0.724615371
ARF1,ADP-ribosylation factor 1 OS=Homo sapiens GN=ARF1 PE=1 SV=2,0.904025807,0.499613404
DOCK7,Dedicator of cytokinesis protein 7 OS=Homo sapiens GN=DOCK7 PE=1 SV=4,0.90025446,0.610981161
TLN1,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,0.899272532,0.495891232
DHX37,Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1,0.894162315,0.285064709
H4,Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,0.890932955,0.204994754
BAG2,BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1,0.890322341,0.340241931
NUP88,Nuclear pore complex protein Nup88 OS=Homo sapiens GN=NUP88 PE=1 SV=2,0.887081494,0.284191079
SYFB,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3,0.882865612,0.326948782
PDLI1,PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4,0.880075232,0.146169419
CDC27,Cell division cycle protein 27 homolog OS=Homo sapiens GN=CDC27 PE=1 SV=2,0.875767983,0.578248369
ERBIN,Erbin OS=Homo sapiens GN=ERBIN PE=1 SV=2,0.868854805,0.176477263
RPGF6,Rap guanine nucleotide exchange factor 6 OS=Homo sapiens GN=RAPGEF6 PE=1 SV=2,0.865752204,0.605225518
ZO2,Tight junction protein ZO-2 OS=Homo sapiens GN=TJP2 PE=1 SV=2,0.859526394,0.5930294
DDX21,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5,0.857868393,0.071046706
DJC11,DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=1 SV=2,0.853737799,0.520227042
SRPK1,SRSF protein kinase 1 OS=Homo sapiens GN=SRPK1 PE=1 SV=2,0.850907761,0.245559534
SRSF1,Serine/arginine-rich splicing factor 1 OS=Homo sapiens GN=SRSF1 PE=1 SV=2,0.850847427,0.222723459
RICTR,Rapamycin-insensitive companion of mTOR OS=Homo sapiens GN=RICTOR PE=1 SV=1,0.849960325,0.172344566
IF4H,Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5,0.8484683,0.165797664
CND2,Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3,0.846634969,0.345601763
CH60,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",0.84409021,0.35105198
H2B1L,Histone H2B type 1-L OS=Homo sapiens GN=HIST1H2BL PE=1 SV=3,0.838324728,0.275337615
SPART,Spartin OS=Homo sapiens GN=SPART PE=1 SV=1,0.835030451,0.228682429
DRG1,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1,0.833663066,0.525166792
TRI25,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens GN=TRIM25 PE=1 SV=2,0.830181028,0.397203268
OAT,"Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1",0.828339141,0.300335221
AP2M1,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2,0.82814427,0.20966993
NXF1,Nuclear RNA export factor 1 OS=Homo sapiens GN=NXF1 PE=1 SV=1,0.819837632,0.303596291
PLEC,Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,0.817746559,0.510366219
GIT1,ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1 PE=1 SV=2,0.809590662,0.194314996
PICAL,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,0.808478289,0.235683234
BCAS3,Breast carcinoma-amplified sequence 3 OS=Homo sapiens GN=BCAS3 PE=1 SV=3,0.807820285,0.208021002
TB182,182 kDa tankyrase-1-binding protein OS=Homo sapiens GN=TNKS1BP1 PE=1 SV=4,0.803235838,0.138893488
RRP44,Exosome complex exonuclease RRP44 OS=Homo sapiens GN=DIS3 PE=1 SV=2,0.801962409,0.160233022
MSH6,DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2,0.800844954,0.209968566
RTN4,Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2,0.799767985,0.160003535
RIR2,Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2 PE=1 SV=1,0.799730963,0.146391855
ATD3B,ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1,0.799329935,0.118900227
NU160,Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3,0.795004332,0.372657968
ZYX,Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1,0.79323659,0.321086734
NU133,Nuclear pore complex protein Nup133 OS=Homo sapiens GN=NUP133 PE=1 SV=2,0.786408472,0.306705983
LMNB1,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,0.781435252,0.234802967
HNRPU,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,0.777364559,0.172491939
DHX9,ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4,0.776556572,0.01637659
EMAL4,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=3,0.773179678,0.19598035
DHX29,ATP-dependent RNA helicase DHX29 OS=Homo sapiens GN=DHX29 PE=1 SV=2,0.771587184,0.001316879
CCD43,Coiled-coil domain-containing protein 43 OS=Homo sapiens GN=CCDC43 PE=1 SV=2,0.770302242,0.288810546
FLNB,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,0.768075542,0.0744104
EXOS2,Exosome complex component RRP4 OS=Homo sapiens GN=EXOSC2 PE=1 SV=2,0.76506353,0.073185073
AP3D1,AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1,0.759020096,0.13075489
ADT3,ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4,0.758196338,0.058717284
P4HA1,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=1 SV=2,0.75591616,0.104351254
CND3,Condensin complex subunit 3 OS=Homo sapiens GN=NCAPG PE=1 SV=1,0.755821512,0.136984857
GRP78,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,0.749233645,0.120840487
PRS8,26S proteasome regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1,0.743481682,0.097977071
TSNAX,Translin-associated protein X OS=Homo sapiens GN=TSNAX PE=1 SV=1,0.74187806,0.58323218
STRN3,Striatin-3 OS=Homo sapiens GN=STRN3 PE=1 SV=3,0.737882461,0.166296782
AP2A2,AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2,0.736155993,0.161380913
PSMD2,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3,0.735902617,0.242223258
SYDC,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2",0.732289491,0.307632875
STMN1,Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3,0.730342559,0.309148852
F1142,Protein FAM114A2 OS=Homo sapiens GN=FAM114A2 PE=1 SV=4,0.729431423,0.169041779
SSFA2,Sperm-specific antigen 2 OS=Homo sapiens GN=SSFA2 PE=1 SV=3,0.728739562,0.16106255
NUP62,Nuclear pore glycoprotein p62 OS=Homo sapiens GN=NUP62 PE=1 SV=3,0.728273434,0.141713422
H12,Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2,0.727190544,0.014336583
SYSC,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=SARS PE=1 SV=3",0.723648754,0.130351259
DDX18,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,0.719226171,0.186370051
ATPG,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1",0.718250425,0.04840226
EF2,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,0.711355862,0.00577522
KNL1,Kinetochore scaffold 1 OS=Homo sapiens GN=KNL1 PE=1 SV=3,0.7097843,0.045624324
TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 OS=Homo sapiens GN=TAB1 PE=1 SV=1,0.702611951,0.057041646
NSUN2,tRNA (cytosine(34)-C(5))-methyltransferase OS=Homo sapiens GN=NSUN2 PE=1 SV=2,0.696357037,0.129792017
NU214,Nuclear pore complex protein Nup214 OS=Homo sapiens GN=NUP214 PE=1 SV=2,0.692959083,0.184007791
WDR3,WD repeat-containing protein 3 OS=Homo sapiens GN=WDR3 PE=1 SV=1,0.688372893,0.077867796
NU107,Nuclear pore complex protein Nup107 OS=Homo sapiens GN=NUP107 PE=1 SV=1,0.686374379,0.014428793
RPP30,Ribonuclease P protein subunit p30 OS=Homo sapiens GN=RPP30 PE=1 SV=1,0.684407074,0.125195346
SMC4,Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2,0.681905716,0.026583713
PTN13,Tyrosine-protein phosphatase non-receptor type 13 OS=Homo sapiens GN=PTPN13 PE=1 SV=2,0.680442161,0.064458409
LIMA1,LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1 PE=1 SV=1,0.679951184,0.05421506
PIHD1,PIH1 domain-containing protein 1 OS=Homo sapiens GN=PIH1D1 PE=1 SV=1,0.677646369,0.0074137
PTSS1,Phosphatidylserine synthase 1 OS=Homo sapiens GN=PTDSS1 PE=1 SV=1,0.677479865,0.798759475
RBM15,Putative RNA-binding protein 15 OS=Homo sapiens GN=RBM15 PE=1 SV=2,0.674080494,0.161021396
SRSF7,Serine/arginine-rich splicing factor 7 OS=Homo sapiens GN=SRSF7 PE=1 SV=1,0.673098814,0.061348958
M3K7,Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens GN=MAP3K7 PE=1 SV=1,0.671265503,0.040518911
AP2B1,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1,0.66534102,0.053912331
ABCE1,ATP-binding cassette sub-family E member 1 OS=Homo sapiens GN=ABCE1 PE=1 SV=1,0.66523426,0.058040947
CTND1,Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1,0.664970152,0.098664836
WAC2A,WASH complex subunit 2A OS=Homo sapiens GN=WASHC2A PE=1 SV=3,0.658943075,0.03754658
EMD,Emerin OS=Homo sapiens GN=EMD PE=1 SV=1,0.657723873,0.077132927
IF5A1,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens GN=EIF5A PE=1 SV=2,0.655187057,0.032854303
PP1G,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1,0.652371659,0.001364568
ESYT2,Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2 PE=1 SV=1,0.652239257,0.023775538
MRCKA,Serine/threonine-protein kinase MRCK alpha OS=Homo sapiens GN=CDC42BPA PE=1 SV=1,0.649268736,0.138524984
GEMI5,Gem-associated protein 5 OS=Homo sapiens GN=GEMIN5 PE=1 SV=3,0.646501057,0.000756043
MAP4,Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3,0.645822131,0.03254721
FUS,RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1,0.643749487,0.076394412
AFAD,Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3,0.638380914,0.089351478
SC22B,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,0.637664421,0.032524756
PRP4,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2,0.626135171,0.107325055
RL14,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4,0.623952684,0.003436073
CP070,UPF0183 protein C16orf70 OS=Homo sapiens GN=C16orf70 PE=1 SV=1,0.620916875,0.057414462
